                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.45132,                0.56121,                0.30907,                0.90569,                0.99457,                      1,                  0.995,                 0.9043,                0.99457,                      1,                  0.995,                0.92581,                0.40957,                0.52639,                0.25826,                0.89566,               0.005248,               0.005248,               0.005248
                     98,                 0.4522,                0.55591,                0.31762,                0.90958,                0.99391,                      1,                  0.995,                0.90189,                0.99391,                      1,                  0.995,                0.92355,                0.40545,                0.54864,                 0.2555,                0.89841,              0.0051985,              0.0051985,              0.0051985
                     99,                0.43827,                0.55004,                0.30641,                0.90513,                0.99476,                0.99713,                  0.995,                 0.9069,                0.99476,                0.99713,                  0.995,                0.93587,                0.41357,                0.52343,                0.24679,                0.90953,               0.005149,               0.005149,               0.005149
                    100,                0.44031,                0.57597,                0.30562,                0.90715,                0.99177,                0.99219,                0.99477,                0.91077,                0.99177,                0.99219,                0.99477,                0.92897,                0.41208,                 0.5222,                0.25473,                0.90218,              0.0050995,              0.0050995,              0.0050995
                    101,                0.46633,                0.56593,                0.31615,                0.91072,                0.99136,                0.99663,                  0.995,                0.90612,                0.99136,                0.99663,                  0.995,                0.93161,                 0.4159,                0.53157,                 0.2501,                0.89537,                0.00505,                0.00505,                0.00505
                    102,                0.43946,                0.54476,                 0.2948,                0.89929,                0.98797,                      1,                  0.995,                0.91257,                0.98797,                      1,                  0.995,                0.93471,                0.40878,                0.52385,                0.24782,                0.89322,              0.0050005,              0.0050005,              0.0050005
                    103,                0.44101,                0.57328,                0.30257,                0.91656,                0.99141,                0.99503,                  0.995,                0.92261,                0.99141,                0.99503,                  0.995,                0.93786,                0.40054,                0.54324,                0.24116,                0.89013,               0.004951,               0.004951,               0.004951
                    104,                0.45473,                0.54595,                0.31446,                0.92335,                0.99546,                0.99851,                  0.995,                0.91849,                0.99546,                0.99851,                  0.995,                0.93917,                0.38891,                0.54263,                0.23149,                0.89269,              0.0049015,              0.0049015,              0.0049015
                    105,                0.43347,                0.55242,                0.29411,                0.90892,                0.99437,                      1,                  0.995,                0.90867,                0.99437,                      1,                  0.995,                0.94025,                0.38617,                 0.5399,                0.24068,                0.89465,               0.004852,               0.004852,               0.004852
                    106,                0.42965,                0.52671,                0.29368,                0.90152,                0.99159,                0.99604,                  0.995,                0.91777,                0.99159,                0.99604,                  0.995,                0.93369,                0.38981,                0.54066,                 0.2304,                0.89506,              0.0048025,              0.0048025,              0.0048025
                    107,                0.44539,                0.58847,                0.30629,                0.91043,                0.99283,                0.99943,                  0.995,                0.91578,                0.99283,                0.99943,                  0.995,                0.93773,                0.39984,                0.54806,                0.24715,                0.89893,               0.004753,               0.004753,               0.004753
                    108,                0.43206,                0.55393,                0.30153,                0.90817,                0.98641,                      1,                0.99477,                0.89473,                0.98641,                      1,                0.99477,                 0.9181,                0.39044,                0.52848,                0.25708,                0.89884,              0.0047035,              0.0047035,              0.0047035
                    109,                0.42562,                0.53479,                0.28718,                 0.8994,                0.98842,                0.99451,                0.99477,                0.91093,                0.98842,                0.99451,                0.99477,                0.93094,                0.39951,                 0.5326,                0.24458,                0.89777,               0.004654,               0.004654,               0.004654
                    110,                0.42996,                0.55376,                 0.2934,                0.90333,                0.99545,                0.99982,                  0.995,                 0.9209,                0.99545,                0.99982,                  0.995,                0.93878,                0.38258,                0.53123,                0.24248,                0.88801,              0.0046045,              0.0046045,              0.0046045
                    111,                0.43994,                0.53665,                0.29251,                0.90597,                0.99462,                0.99997,                  0.995,                0.92369,                0.99462,                0.99997,                  0.995,                0.93735,                0.39019,                0.52111,                0.23154,                0.88815,               0.004555,               0.004555,               0.004555
                    112,                0.41938,                0.52903,                0.28771,                0.89738,                0.99543,                0.99753,                  0.995,                0.91495,                0.99543,                0.99753,                  0.995,                0.92942,                0.38367,                0.53528,                 0.2274,                0.88934,              0.0045055,              0.0045055,              0.0045055
                    113,                 0.4201,                0.54485,                0.29273,                0.90808,                0.99372,                      1,                  0.995,                0.89262,                0.99372,                      1,                  0.995,                0.89079,                 0.4115,                0.60571,                0.24175,                0.89749,               0.004456,               0.004456,               0.004456
                    114,                0.41426,                0.54299,                0.28684,                0.89401,                0.99651,                      1,                  0.995,                0.90836,                0.99651,                      1,                  0.995,                0.93201,                0.39352,                0.52509,                0.23204,                 0.8932,              0.0044065,              0.0044065,              0.0044065
                    115,                0.42775,                0.52649,                0.29178,                0.90401,                0.99477,                      1,                  0.995,                0.91582,                0.99477,                      1,                  0.995,                0.92627,                0.40355,                0.54295,                0.24277,                0.89969,               0.004357,               0.004357,               0.004357
                    116,                0.42319,                 0.5542,                0.28586,                0.90591,                0.99428,                      1,                  0.995,                0.92328,                0.99428,                      1,                  0.995,                0.93369,                0.40246,                0.53674,                0.23264,                0.89907,              0.0043075,              0.0043075,              0.0043075
                    117,                0.42409,                0.54127,                0.28861,                0.91448,                0.99443,                0.99714,                  0.995,                0.91286,                0.99443,                0.99714,                  0.995,                0.93371,                0.40103,                 0.5291,                0.23712,                0.90156,               0.004258,               0.004258,               0.004258
                    118,                0.41591,                0.55972,                0.28488,                0.91128,                0.99415,                0.99692,                  0.995,                0.93077,                0.99415,                0.99692,                  0.995,                 0.9297,                0.37445,                0.54016,                0.22568,                0.88886,              0.0042085,              0.0042085,              0.0042085
                    119,                0.41729,                0.53802,                0.28388,                 0.8963,                0.99251,                      1,                  0.995,                0.92561,                0.99251,                      1,                  0.995,                0.92774,                0.38966,                0.53657,                0.22341,                0.88807,               0.004159,               0.004159,               0.004159
                    120,                0.41157,                0.52723,                 0.2775,                0.89274,                0.99332,                0.99894,                  0.995,                0.90287,                0.99332,                0.99894,                  0.995,                0.93586,                0.39823,                 0.5299,                0.24108,                0.89213,              0.0041095,              0.0041095,              0.0041095
                    121,                0.41368,                0.51125,                0.28587,                0.91049,                0.99328,                      1,                  0.995,                0.92684,                0.99328,                      1,                  0.995,                0.93424,                0.37825,                0.53068,                0.21716,                0.89134,                0.00406,                0.00406,                0.00406
                    122,                0.40553,                0.52145,                0.27465,                0.89137,                 0.9915,                      1,                  0.995,                0.92539,                 0.9915,                      1,                  0.995,                0.93995,                0.38176,                0.52411,                0.22335,                 0.8898,              0.0040105,              0.0040105,              0.0040105
                    123,                0.41948,                0.56899,                0.28462,                0.89949,                0.98688,                      1,                  0.995,                0.93293,                0.98688,                      1,                  0.995,                0.94242,                0.37914,                0.51026,                0.21966,                 0.8846,               0.003961,               0.003961,               0.003961
                    124,                 0.3966,                0.51909,                0.27788,                0.89413,                0.98501,                      1,                  0.995,                0.94109,                0.98501,                      1,                  0.995,                0.94289,                0.38251,                0.50556,                0.23209,                 0.8814,              0.0039115,              0.0039115,              0.0039115
                    125,                0.41529,                0.54468,                0.28108,                0.90387,                 0.9887,                      1,                  0.995,                0.92806,                 0.9887,                      1,                  0.995,                0.94943,                 0.3798,                0.51129,                0.22706,                 0.8815,               0.003862,               0.003862,               0.003862
                    126,                0.40135,                0.50684,                0.27555,                0.88953,                0.98926,                      1,                  0.995,                0.92967,                0.98926,                      1,                  0.995,                0.94503,                0.38127,                0.51729,                0.22774,                0.88092,              0.0038125,              0.0038125,              0.0038125
                    127,                0.39594,                 0.5102,                0.27414,                0.89039,                0.98658,                      1,                  0.995,                0.91991,                0.98658,                      1,                  0.995,                0.94459,                0.38601,                0.52601,                0.22438,                0.87995,               0.003763,               0.003763,               0.003763
                    128,                0.41078,                0.54413,                0.28292,                0.89816,                0.99122,                      1,                  0.995,                0.92524,                0.99122,                      1,                  0.995,                0.95242,                0.37337,                0.53251,                0.21752,                0.87541,              0.0037135,              0.0037135,              0.0037135
                    129,                0.39877,                0.52832,                0.28014,                0.88832,                0.98968,                      1,                  0.995,                0.92646,                0.98968,                      1,                  0.995,                0.94976,                0.37038,                0.51788,                0.21551,                 0.8737,               0.003664,               0.003664,               0.003664
                    130,                0.39099,                0.49863,                0.26535,                 0.8966,                0.99255,                0.99995,                  0.995,                 0.9125,                0.99255,                0.99995,                  0.995,                0.95164,                0.36616,                0.52195,                0.22034,                0.87423,              0.0036145,              0.0036145,              0.0036145
                    131,                0.39588,                0.50704,                0.26876,                0.88737,                0.99229,                      1,                  0.995,                0.92035,                0.99229,                      1,                  0.995,                0.94774,                0.37012,                0.53118,                0.22163,                0.88178,               0.003565,               0.003565,               0.003565
                    132,                0.38789,                0.46954,                0.26603,                0.88243,                 0.9907,                      1,                  0.995,                0.91843,                 0.9907,                      1,                  0.995,                0.94599,                 0.3868,                 0.5323,                0.22554,                 0.8937,              0.0035155,              0.0035155,              0.0035155
                    133,                0.40421,                0.51858,                0.27267,                0.89388,                0.99487,                0.99519,                  0.995,                0.90676,                0.99487,                0.99519,                  0.995,                0.94264,                0.39828,                0.53905,                0.23593,                0.89993,               0.003466,               0.003466,               0.003466
                    134,                0.40881,                0.54534,                0.27752,                0.89325,                0.99376,                0.99657,                  0.995,                0.91185,                0.99376,                0.99657,                  0.995,                0.93663,                0.38827,                0.53964,                0.22859,                0.89557,              0.0034165,              0.0034165,              0.0034165
                    135,                0.38549,                0.50782,                0.26412,                0.88762,                0.98588,                      1,                  0.995,                0.91755,                0.98588,                      1,                  0.995,                0.94023,                0.40177,                 0.5368,                0.22364,                0.90913,               0.003367,               0.003367,               0.003367
                    136,                0.38623,                0.51091,                0.26094,                 0.8862,                0.98741,                      1,                  0.995,                0.93033,                0.98741,                      1,                  0.995,                 0.9415,                0.39358,                0.53018,                0.21537,                0.90679,              0.0033175,              0.0033175,              0.0033175
                    137,                0.38845,                 0.5125,                0.25991,                0.88983,                0.99187,                      1,                  0.995,                0.93152,                0.99187,                      1,                  0.995,                0.94243,                0.38106,                0.51061,                 0.2214,                0.89059,               0.003268,               0.003268,               0.003268
                    138,                0.40368,                0.53522,                0.27151,                 0.8962,                0.99154,                0.99849,                  0.995,                0.92216,                0.99154,                0.99849,                  0.995,                0.94285,                0.39958,                0.52593,                0.21592,                0.89922,              0.0032185,              0.0032185,              0.0032185
                    139,                0.39901,                0.51069,                0.26902,                0.89065,                0.99425,                      1,                  0.995,                0.92042,                0.99425,                      1,                  0.995,                0.93828,                0.41212,                0.52643,                0.22596,                0.90742,               0.003169,               0.003169,               0.003169
                    140,                0.37764,                0.51238,                0.25481,                0.87432,                0.99421,                      1,                  0.995,                 0.9211,                0.99421,                      1,                  0.995,                0.93719,                0.38082,                0.52709,                0.21541,                0.88188,              0.0031195,              0.0031195,              0.0031195
                    141,                0.37718,                0.49444,                 0.2545,                0.87574,                0.99478,                0.99875,                  0.995,                0.93693,                0.99478,                0.99875,                  0.995,                0.94186,                0.37849,                0.52709,                0.21469,                0.88099,                0.00307,                0.00307,                0.00307
                    142,                0.38187,                0.49325,                0.25747,                0.87553,                0.99271,                0.99696,                  0.995,                 0.9372,                0.99271,                0.99696,                  0.995,                0.93507,                0.38104,                0.53213,                0.20839,                 0.8876,              0.0030205,              0.0030205,              0.0030205
                    143,                0.38476,                0.47993,                0.25845,                0.88917,                 0.9872,                      1,                  0.995,                0.94189,                 0.9872,                      1,                  0.995,                 0.9391,                0.37995,                0.52079,                 0.2115,                0.88515,               0.002971,               0.002971,               0.002971
                    144,                0.38325,                0.48473,                0.26152,                0.88684,                0.98189,                      1,                  0.995,                0.94182,                0.98189,                      1,                  0.995,                0.93795,                0.38486,                0.51839,                0.21038,                  0.883,              0.0029215,              0.0029215,              0.0029215
                    145,                0.38591,                0.51288,                0.26206,                0.88513,                 0.9968,                      1,                  0.995,                0.92468,                 0.9968,                      1,                  0.995,                0.93791,                0.37924,                0.52199,                0.21314,                0.88259,               0.002872,               0.002872,               0.002872
                    146,                0.38365,                0.51209,                0.25824,                0.88804,                0.99493,                 0.9966,                  0.995,                0.94167,                0.99493,                 0.9966,                  0.995,                0.94065,                0.37194,                0.52345,                0.20595,                0.87345,              0.0028225,              0.0028225,              0.0028225
                    147,                 0.3881,                0.57067,                 0.2592,                0.88554,                0.99441,                      1,                  0.995,                0.94033,                0.99441,                      1,                  0.995,                0.94153,                0.37094,                0.52899,                0.20501,                 0.8767,               0.002773,               0.002773,               0.002773
                    148,                0.39468,                0.49154,                0.25968,                0.88594,                0.99471,                      1,                  0.995,                0.95002,                0.99471,                      1,                  0.995,                0.94257,                0.36095,                0.53827,                0.20919,                0.87956,              0.0027235,              0.0027235,              0.0027235
                    149,                0.37331,                0.47536,                0.25195,                0.87635,                0.99333,                      1,                  0.995,                0.93242,                0.99333,                      1,                  0.995,                0.94628,                0.36142,                0.53664,                0.20046,                 0.8779,               0.002674,               0.002674,               0.002674
                    150,                0.40041,                0.52008,                 0.2625,                0.90487,                0.99305,                      1,                  0.995,                0.94445,                0.99305,                      1,                  0.995,                0.94375,                0.36229,                0.52837,                0.19971,                 0.8761,              0.0026245,              0.0026245,              0.0026245
                    151,                0.36805,                0.50243,                0.25006,                0.87762,                0.99573,                      1,                  0.995,                0.94315,                0.99573,                      1,                  0.995,                0.93851,                0.36213,                0.52549,                0.20424,                0.87764,               0.002575,               0.002575,               0.002575
                    152,                0.36645,                0.50941,                0.24298,                0.88192,                 0.9969,                      1,                  0.995,                0.93643,                 0.9969,                      1,                  0.995,                  0.937,                0.37715,                0.52479,                0.20346,                0.88658,              0.0025255,              0.0025255,              0.0025255
                    153,                0.36981,                0.49614,                0.24566,                 0.8849,                0.99388,                      1,                  0.995,                0.92837,                0.99388,                      1,                  0.995,                0.93859,                0.38302,                0.53427,                0.20892,                0.88689,               0.002476,               0.002476,               0.002476
                    154,                0.37452,                0.48098,                0.24841,                0.87762,                 0.9889,                0.98774,                  0.995,                0.92805,                 0.9889,                0.98774,                  0.995,                0.93472,                0.38837,                0.53812,                0.20519,                0.89725,              0.0024265,              0.0024265,              0.0024265
                    155,                0.37122,                0.49697,                0.24482,                0.88508,                0.98749,                      1,                  0.995,                0.93282,                0.98749,                      1,                  0.995,                0.92994,                0.38662,                0.53132,                0.20196,                0.89522,               0.002377,               0.002377,               0.002377
                    156,                0.36596,                0.49787,                0.24734,                0.87932,                0.99379,                      1,                  0.995,                 0.9313,                0.99379,                      1,                  0.995,                0.94288,                0.37992,                0.53247,                0.20282,                0.89043,              0.0023275,              0.0023275,              0.0023275
                    157,                0.35923,                 0.4999,                0.23494,                0.87325,                0.99384,                      1,                  0.995,                0.91823,                0.99384,                      1,                  0.995,                0.94168,                0.37301,                 0.5227,                0.19685,                0.88385,               0.002278,               0.002278,               0.002278
                    158,                0.35477,                0.48827,                0.23995,                0.89265,                0.99535,                0.99582,                  0.995,                0.91522,                0.99535,                0.99582,                  0.995,                0.94823,                0.36882,                0.53086,                0.19634,                0.87809,              0.0022285,              0.0022285,              0.0022285
                    159,                0.33826,                0.47767,                0.22274,                0.86305,                 0.9958,                0.99632,                  0.995,                0.93122,                 0.9958,                0.99632,                  0.995,                 0.9437,                0.36036,                0.53416,                0.19875,                 0.8756,               0.002179,               0.002179,               0.002179
                    160,                0.36577,                0.49208,                0.24622,                0.88018,                0.99465,                0.99725,                  0.995,                0.92538,                0.99465,                0.99725,                  0.995,                0.95244,                 0.3606,                0.53194,                0.19997,                0.87671,              0.0021295,              0.0021295,              0.0021295
                    161,                0.36606,                0.49679,                0.24261,                0.88361,                0.99486,                0.99534,                  0.995,                0.91788,                0.99486,                0.99534,                  0.995,                0.95362,                0.36541,                0.53315,                0.19799,                0.88096,                0.00208,                0.00208,                0.00208
                    162,                0.35167,                0.47513,                0.23431,                0.86708,                0.99413,                0.99647,                  0.995,                0.92487,                0.99413,                0.99647,                  0.995,                  0.957,                0.36937,                0.53223,                0.19591,                0.88225,              0.0020305,              0.0020305,              0.0020305
                    163,                0.35717,                0.49058,                0.24201,                0.87987,                0.99408,                      1,                  0.995,                0.92794,                0.99408,                      1,                  0.995,                0.95138,                0.37629,                0.53896,                0.19932,                0.88371,               0.001981,               0.001981,               0.001981
                    164,                0.37262,                0.51991,                0.24294,                0.88622,                0.99562,                0.99858,                  0.995,                0.93057,                0.99562,                0.99858,                  0.995,                0.95216,                0.37599,                0.53495,                0.20179,                0.88717,              0.0019315,              0.0019315,              0.0019315
                    165,                0.34339,                0.45818,                0.23469,                0.87291,                0.99566,                0.99519,                  0.995,                0.93772,                0.99566,                0.99519,                  0.995,                0.95679,                0.36541,                0.53153,                0.19398,                0.88127,               0.001882,               0.001882,               0.001882
                    166,                0.35378,                0.47832,                0.24045,                0.87105,                0.99486,                0.99796,                  0.995,                0.94029,                0.99486,                0.99796,                  0.995,                0.95214,                0.36389,                0.52973,                0.19699,                0.87841,              0.0018325,              0.0018325,              0.0018325
                    167,                0.34556,                0.45575,                0.22874,                0.87222,                0.99491,                      1,                  0.995,                0.94447,                0.99491,                      1,                  0.995,                0.95105,                0.36877,                0.53717,                0.20396,                0.87523,               0.001783,               0.001783,               0.001783
                    168,                0.35221,                0.46924,                0.23787,                0.87549,                0.99823,                      1,                  0.995,                0.93563,                0.99823,                      1,                  0.995,                0.95353,                0.36763,                0.54185,                0.20017,                0.87474,              0.0017335,              0.0017335,              0.0017335
                    169,                0.33374,                0.46102,                 0.2293,                0.86906,                0.99406,                0.99944,                  0.995,                0.93243,                0.99406,                0.99944,                  0.995,                0.95442,                0.37836,                0.53898,                0.20296,                0.87697,               0.001684,               0.001684,               0.001684
                    170,                 0.3466,                0.47666,                0.22708,                0.88157,                0.99455,                      1,                  0.995,                0.93763,                0.99455,                      1,                  0.995,                0.95234,                0.37569,                0.53539,                0.19776,                0.87693,              0.0016345,              0.0016345,              0.0016345
                    171,                0.33195,                0.46389,                0.22395,                0.87009,                0.99332,                      1,                  0.995,                0.94601,                0.99332,                      1,                  0.995,                0.95562,                0.35786,                0.53024,                0.19512,                0.87241,               0.001585,               0.001585,               0.001585
                    172,                0.34914,                0.48312,                0.23319,                0.88005,                0.99336,                      1,                  0.995,                0.94037,                0.99336,                      1,                  0.995,                0.95768,                0.35669,                0.52779,                0.19436,                0.87047,              0.0015355,              0.0015355,              0.0015355
                    173,                0.32947,                0.48142,                 0.2212,                0.86837,                0.99503,                      1,                  0.995,                0.93969,                0.99503,                      1,                  0.995,                0.95512,                0.35062,                0.53054,                0.18929,                0.86837,               0.001486,               0.001486,               0.001486
                    174,                0.36128,                0.50069,                0.24165,                0.87745,                0.99438,                      1,                  0.995,                0.92993,                0.99438,                      1,                  0.995,                0.95364,                0.35585,                0.53812,                0.19155,                0.87049,              0.0014365,              0.0014365,              0.0014365
                    175,                 0.3436,                0.47168,                0.22995,                0.87085,                0.99398,                      1,                  0.995,                0.93871,                0.99398,                      1,                  0.995,                0.95263,                0.37534,                0.54445,                0.19409,                0.87987,               0.001387,               0.001387,               0.001387
                    176,                0.34329,                0.49635,                0.22757,                0.87216,                0.99447,                0.99961,                  0.995,                 0.9309,                0.99447,                0.99961,                  0.995,                0.95277,                0.38613,                0.54021,                0.19623,                0.88884,              0.0013375,              0.0013375,              0.0013375
                    177,                0.33154,                0.49296,                 0.2248,                 0.8706,                0.99779,                      1,                  0.995,                0.93421,                0.99779,                      1,                  0.995,                0.95627,                 0.3837,                0.53282,                0.19193,                0.89278,               0.001288,               0.001288,               0.001288
                    178,                0.34309,                0.47534,                0.22716,                0.86756,                0.99927,                      1,                  0.995,                0.94059,                0.99927,                      1,                  0.995,                0.95758,                 0.3799,                0.53798,                0.19513,                0.89257,              0.0012385,              0.0012385,              0.0012385
                    179,                0.32957,                0.46718,                0.22243,                0.87824,                0.99408,                      1,                  0.995,                0.93739,                0.99408,                      1,                  0.995,                0.95438,                0.37646,                0.53844,                0.19263,                0.88881,               0.001189,               0.001189,               0.001189
                    180,                0.34756,                0.47184,                 0.2248,                0.87486,                0.99429,                      1,                  0.995,                0.93608,                0.99429,                      1,                  0.995,                0.95551,                0.38304,                0.53808,                0.19617,                0.89238,              0.0011395,              0.0011395,              0.0011395
                    181,                0.31792,                0.45717,                0.21483,                0.85813,                0.99458,                      1,                  0.995,                0.93591,                0.99458,                      1,                  0.995,                0.95416,                0.38191,                0.53982,                0.19394,                0.89271,                0.00109,                0.00109,                0.00109
                    182,                0.33144,                0.46865,                0.21689,                0.86672,                0.99498,                      1,                  0.995,                0.93794,                0.99498,                      1,                  0.995,                  0.955,                0.38517,                0.54118,                 0.1881,                0.89845,              0.0010405,              0.0010405,              0.0010405
                    183,                 0.3237,                0.45687,                0.21539,                0.86296,                0.99467,                      1,                  0.995,                0.93629,                0.99467,                      1,                  0.995,                0.95799,                0.37773,                0.53437,                0.18744,                0.89364,               0.000991,               0.000991,               0.000991
                    184,                0.33122,                 0.4769,                0.21771,                0.87031,                 0.9945,                      1,                  0.995,                0.94026,                 0.9945,                      1,                  0.995,                0.95667,                0.38043,                0.53236,                0.19081,                0.89268,              0.0009415,              0.0009415,              0.0009415
                    185,                 0.3401,                0.47587,                0.22372,                0.88097,                0.99429,                      1,                  0.995,                0.94614,                0.99429,                      1,                  0.995,                0.95351,                0.36766,                 0.5303,                0.18931,                0.88466,               0.000892,               0.000892,               0.000892
                    186,                0.32122,                0.45932,                 0.2135,                0.86513,                0.99442,                      1,                  0.995,                0.94591,                0.99442,                      1,                  0.995,                0.95505,                0.36552,                0.53224,                0.18686,                0.88399,              0.0008425,              0.0008425,              0.0008425
                    187,                0.32691,                0.44485,                0.21497,                0.86763,                0.99528,                      1,                  0.995,                0.94069,                0.99528,                      1,                  0.995,                0.95534,                0.36467,                0.53761,                0.18529,                0.88327,               0.000793,               0.000793,               0.000793
                    188,                0.32066,                 0.4723,                0.21373,                0.86382,                0.99533,                      1,                  0.995,                0.93293,                0.99533,                      1,                  0.995,                0.95383,                0.36494,                0.53867,                0.18514,                0.88381,              0.0007435,              0.0007435,              0.0007435
                    189,                0.31844,                0.47454,                0.21579,                0.86231,                0.99489,                      1,                  0.995,                0.93713,                0.99489,                      1,                  0.995,                  0.958,                0.36611,                0.54058,                0.17957,                0.88352,               0.000694,               0.000694,               0.000694
                    190,                0.31575,                0.48402,                0.20487,                0.85467,                0.99831,                      1,                  0.995,                0.93689,                0.99831,                      1,                  0.995,                0.95466,                0.36571,                0.54586,                  0.184,                0.88305,              0.0006445,              0.0006445,              0.0006445
                    191,                0.31799,                 0.4618,                0.21125,                0.86674,                0.99828,                      1,                  0.995,                0.93498,                0.99828,                      1,                  0.995,                0.95773,                0.36103,                0.54691,                0.18049,                0.88227,               0.000595,               0.000595,               0.000595
                    192,                0.33488,                0.48376,                0.21697,                0.87132,                0.99828,                      1,                  0.995,                0.93678,                0.99828,                      1,                  0.995,                 0.9578,                0.36044,                0.54493,                0.17777,                 0.8824,              0.0005455,              0.0005455,              0.0005455
                    193,                0.33203,                0.46907,                0.21478,                0.87771,                0.99851,                      1,                  0.995,                0.93464,                0.99851,                      1,                  0.995,                0.95541,                0.36455,                0.54379,                0.18117,                0.88298,               0.000496,               0.000496,               0.000496
                    194,                0.31585,                0.46807,                0.21359,                0.86363,                0.99852,                      1,                  0.995,                0.93087,                0.99852,                      1,                  0.995,                0.95823,                0.36635,                0.54018,                0.18399,                0.88386,              0.0004465,              0.0004465,              0.0004465
                    195,                0.30074,                0.43791,                0.19659,                0.86272,                0.99428,                      1,                  0.995,                0.93805,                0.99428,                      1,                  0.995,                0.95882,                0.36406,                0.53608,                 0.1796,                0.88274,               0.000397,               0.000397,               0.000397
                    196,                0.31778,                0.48751,                 0.2106,                0.87109,                0.99458,                      1,                  0.995,                 0.9412,                0.99458,                      1,                  0.995,                 0.9554,                0.36219,                0.53551,                 0.1782,                0.88264,              0.0003475,              0.0003475,              0.0003475
                    197,                  0.304,                 0.4402,                0.19902,                0.86747,                0.99479,                      1,                  0.995,                0.94283,                0.99479,                      1,                  0.995,                0.95733,                0.36052,                0.53717,                0.17844,                 0.8807,               0.000298,               0.000298,               0.000298
                    198,                0.30519,                0.45386,                0.19944,                0.86498,                0.99485,                      1,                  0.995,                0.94221,                0.99485,                      1,                  0.995,                0.95747,                0.36099,                0.54061,                0.17731,                0.88013,              0.0002485,              0.0002485,              0.0002485
                    199,                0.30522,                 0.4525,                0.20178,                0.86191,                0.99492,                      1,                  0.995,                0.94472,                0.99492,                      1,                  0.995,                0.95869,                0.36166,                0.54399,                0.17728,                0.88091,               0.000199,               0.000199,               0.000199
